,ESTACION,mode_valid_night_2022,PUNTO_MUESTREO_CROP,geometry,lat,lon
0,4,15.0,28079004,POINT (-3.7122567 40.4238823),40.4238823,-3.7122567
1,8,18.0,28079008,POINT (-3.6823158 40.4215533),40.4215533,-3.6823158
2,11,8.0,28079011,POINT (-3.6773491 40.4514734),40.4514734,-3.6773491
3,16,12.0,28079016,POINT (-3.6392422 40.4400457),40.4400457,-3.6392422
4,17,13.0,28079017,POINT (-3.7133167 40.347147),40.347147,-3.7133167
5,18,10.0,28079018,POINT (-3.7318356 40.3947825),40.3947825,-3.7318356
6,24,5.0,28079024,POINT (-3.7473445 40.4193577),40.4193577,-3.7473445
7,27,14.0,28079027,POINT (-3.5800258 40.4769179),40.4769179,-3.5800258
8,35,18.0,28079035,POINT (-3.7031662 40.4192091),40.4192091,-3.7031662
9,36,12.0,28079036,POINT (-3.6453104 40.4079517),40.4079517,-3.6453104
10,38,14.0,28079038,POINT (-3.7071303 40.4455439),40.4455439,-3.7071303
11,39,7.0,28079039,POINT (-3.7115364 40.4782322),40.4782322,-3.7115364
12,40,9.0,28079040,POINT (-3.6515286 40.3881478),40.3881478,-3.6515286
13,47,10.0,28079047,POINT (-3.6868138 40.3980991),40.3980991,-3.6868138
14,48,15.0,28079048,POINT (-3.6903729 40.4398904),40.4398904,-3.6903729
15,49,10.0,28079049,POINT (-3.6824999 40.4144444),40.4144444,-3.6824999
16,50,13.0,28079050,POINT (-3.6887449 40.4655841),40.4655841,-3.6887449
17,54,14.0,28079054,POINT (-3.6121394 40.3730118),40.3730118,-3.6121394
18,55,17.0,28079055,POINT (-3.5805649 40.4623628),40.4623628,-3.5805649
19,56,19.0,28079056,POINT (-3.7187679 40.3850336),40.3850336,-3.7187679
20,57,11.0,28079057,POINT (-3.6605173 40.4942012),40.4942012,-3.6605173
21,58,7.0,28079058,POINT (-3.7746101 40.5180701),40.5180701,-3.7746101
22,59,11.0,28079059,POINT (-3.6163407 40.4607255),40.4607255,-3.6163407
23,60,14.0,28079060,POINT (-3.6897308 40.5005477),40.5005477,-3.6897308
